id,editor_id,created_by_id,players_min_id,updated_by_id,players_max_id,duration_game_id,updated_at,image,name,initeditor,year,slug,is_deliverable,is_occasion,weigth,age,ht_price,is_deee,is_online,created_at,content,content_message,rvj2id,linktopresentationvideo
1485,28,599,2,3,2,1,2024-11-12 15:31:20,bataille-navale-pirates_1485.png,BATAILLE NAVALE &quot;PIRATES&quot;,JANOD,2012,BATAILLE-NAVALE-and-quot-PIRATES-and-quot,0,1,861,4,1200,1,0,2023-06-07 21:51:29,"1 boîte de jeu faisant office de pupitre magnétique
2 compartiments
12 petits bateaux rouges
4 bateaux bleus
2 bateaux verts
2 grands bateaux jaunes
2 grandes grilles où positionner les bateaux
2 petites grilles pour pointer les tirs envoyés
1 règle du jeu
2 feutres effaçables",NULL,1485,NULL
1486,15,599,2,NULL,4,1,2024-11-10 21:15:22,mon-grand-coffret-grande-section_1486.png,MON GRAND COFFRET PETITE SECTION,NATHAN,2012,MON-GRAND-COFFRET-PETITE-SECTION,0,0,0,3,700,1,0,2023-06-08 20:53:25,"Jeu des couleurs : 
- 5 planches de loto
- 30 jetons

Jeu des lettres : 
- 26 cartes wagons
- 26 lettres

Jeu des chiffres : 
- 5 cartes puzzles chiffres et quantités

Grand jeu de la ferme : 
- 1 plateau de jeu en 4 parties
- 5 cartes consigne
- 4 pions personnages
- 4 socles
- 25 jetons animaux
- 5 jetons dés

1 tableau de l&#039;alphabet
1 livret de règles",NULL,1486,NULL
1487,218,599,2,NULL,4,1,2024-11-10 21:15:22,graine-d-explorateur-le-corps-humain_1487.png,GRAINE D&#039;EXPLORATEUR - LE CORPS HUMAIN,ATOMIC MIX,NULL,GRAINE-D-and-039-EXPLORATEUR-LE-CORPS-HUMAIN,0,0,0,4,300,1,1,2023-06-08 21:08:04,"100 cartes
1 règle du jeu",NULL,1487,NULL
1488,219,599,2,NULL,4,1,2024-11-10 21:15:22,eco-domino-animals_1488.png,ECO DOMINO ANIMALS,ANDREU TOYS,NULL,ECO-DOMINO-ANIMALS,0,0,0,2,300,1,1,2023-06-11 11:39:47,28 dominos en bois,NULL,1488,NULL
1489,19,599,2,NULL,4,1,2024-11-10 21:15:22,fais-ta-valise_1489.png,FAIS TA VALISE,ASMODEE,2018,FAIS-TA-VALISE,0,0,0,6,800,1,0,2023-06-11 15:38:09,"4 valises
52 objets
30 cartes Destination
1 livret de règles",NULL,1489,NULL
1490,25,599,2,NULL,4,1,2024-11-10 21:15:22,monopoly_1490.png,MONOPOLY,MIRO MECCANO,NULL,MONOPOLY,0,0,0,8,1200,1,1,2023-06-11 18:42:19,"1 plateau de jeu
6 pions (en plastique)
28 cartes de propriété
16 cartes Chance
16 cartes Caisse de communauté
1 liasse de billets
32 maisons (en plastique)
12 hôtels (en plastique)
2 dés
1 règle du jeu",NULL,1490,NULL
1491,103,599,2,NULL,4,1,2024-11-10 21:15:22,tournibilis_1491.png,TOURNIBILIS,OXYBUL,NULL,TOURNIBILIS,0,0,0,6,500,1,1,2023-06-11 19:05:12,"1 plateau de jeu en bois comprenant 4 boules de couleur reliées à 1 anneau central par 4 cordelettes
4 billes (1 rouge, 1 jeune, 1 bleue, 1 verte)
1 règle du jeu",NULL,1491,NULL
1492,40,599,2,NULL,4,1,2024-11-10 21:15:22,loto-fruits-des-4-saisons_1492.png,LOTO FRUITS DES 4 SAISONS,DECOUVERTE NATHAN,1979,LOTO-FRUITS-DES-4-SAISONS,0,0,0,3,300,1,1,2023-06-15 20:26:22,"5 planches
30 tuiles",NULL,1492,NULL
1493,2,599,2,NULL,4,1,2024-11-10 21:15:22,cap-tain-carcasse_1493.png,CAP&#039;TAIN CARCASSE,MB,1990,CAP-and-039-TAIN-CARCASSE,0,0,0,5,800,1,1,2023-06-18 20:57:47,"1 base de jeu comprenant : 
- 1 coffre
- 1 gouvernail
- 1 squelette
- 1 épée (interrupteur)
7 pièces d&#039;argent
3 pièces d&#039;or
des accessoires : 
- 1 épée
- 1 mousquet
- 1 pipe
- 1 bandeau
- 1 chapeau
- 1 perroquet
- 1 collier-montre
- 1 médaille
- 1 bracelet
- 1 longue vue
1 règle du jeu",NULL,1493,NULL
1494,17,599,2,NULL,4,1,2024-11-10 21:15:22,hungry-hungry-hippos-version-anglaise_1494.png,HUNGRY HUNGRY HIPPOS (VERSION ANGLAISE),HASBRO GAMING,2017,HUNGRY-HUNGRY-HIPPOS-VERSION-ANGLAISE,0,0,0,4,800,1,0,2023-06-18 21:27:19,"1 base de jeu
4 têtes d&#039;Hippo
4 corps d&#039;Hippo
20 billes en plastique (19 rouges, 1 jaune)
1 couvercle de rangement pour les billes
1 règle du jeu",NULL,1494,NULL
1495,2,599,2,NULL,4,1,2024-11-10 21:15:22,money-money_1495.png,MONEY MONEY,MB,1989,MONEY-MONEY,0,0,0,9,1000,1,1,2023-06-19 20:32:06,"1 plateau de jeu
4 tableaux de jeu
160 liasses de billets de banque
1 pion sous forme de dollar
3 dés (1 rouge, 1 blanc, 1 bleu)
31 cartes réparties en 3 catégories différentes : Wall Street, Las Vegas, Loterie
1 feuille de ruban adhésif
1 règle du jeu",NULL,1495,NULL
1496,12,599,2,NULL,4,1,2024-11-10 21:15:22,gobe-noix_1496.png,GOBE NOIX,GOLIATH,2021,GOBE-NOIX,0,0,0,4,700,1,0,2023-06-21 20:49:41,"1 Gobe Noix
24 noisettes (6 de chaque couleur : vert, bleu, jaune, rouge)
1 tronc d&#039;arbre
1 réserve à noisettes
1 dé
4 cachettes en carton
1 planche d&#039;autocollants
1 règle du jeu",NULL,1496,NULL
1497,29,599,2,NULL,4,1,2024-11-10 21:15:22,bolidanimo_1497.png,BOLIDANIMO,DJECO,NULL,BOLIDANIMO,0,0,0,2,400,1,1,2023-06-25 19:23:40,16 pièces,NULL,1497,NULL
1498,59,599,2,NULL,4,1,2024-11-10 21:15:22,loto-des-pays-chauds-fruits-et-lnngumes_1498.png,LOTO DES PAYS CHAUDS - FRUITS ET LÉGUMES,FERNAND NATHAN,NULL,LOTO-DES-PAYS-CHAUDS-FRUITS-ET-LEGUMES,0,0,0,4,300,1,1,2023-06-25 20:53:07,"5 planches
30 tuiles",NULL,1498,NULL
1499,18,599,2,NULL,4,1,2024-11-10 21:15:22,diamino_1499.png,DIAMINO,GAY PLAY,NULL,DIAMINO,0,1,175,10,500,1,0,2023-06-25 21:22:37,"63 jetons lettres en bois
1 règle du jeu",NULL,1499,NULL
1500,33,599,2,NULL,4,1,2024-11-10 21:15:22,devine-tn-te_1500.png,DEVINE TÊTE,MEGABLEU,2013,DEVINE-TETE,0,0,0,6,600,1,1,2023-07-02 21:26:11,"72 cartes
6 bandeaux
24 jetons
1 sablier
1 règle du jeu",NULL,1500,NULL
1501,11,599,2,NULL,4,1,2024-11-10 21:15:22,le-magicien-de-la-lecture_1501.png,LE MAGICIEN DE LA LECTURE,RAVENSBURGER,2012,LE-MAGICIEN-DE-LA-LECTURE,0,1,1069,5,1200,1,0,2023-07-05 19:39:12,"1 plateau de jeu en 3 parties
4 plaques Joueurs
1 livre magique de l&#039;alphabet
1 pion Magicien avec son socle
1 planche Corbeau
9 parchemins magiques
38 jetons Lettres
1 stylo Tiptoi
1 règle du jeu",NULL,1501,NULL
1502,30,599,2,NULL,4,1,2024-11-10 21:15:22,dans-le-monde-des-lettres-les-mots_1502.png,DANS LE MONDE DES LETTRES - LES MOTS,CLEMENTONI,NULL,DANS-LE-MONDE-DES-LETTRES-LES-MOTS,0,0,0,4,400,1,0,2023-07-09 17:52:33,36 cartes à emboîtement qui forment 12 images article / sujet / mot.,NULL,1502,NULL
1503,220,599,2,NULL,4,1,2024-11-10 21:15:22,carotina-baby-la-collection-des-jeux-educatifs_1503.png,CAROTINA BABY - LA COLLECTION DES JEUX EDUCATIFS,LISCIANI,NULL,CAROTINA-BABY-LA-COLLECTION-DES-JEUX-EDUCATIFS,0,0,0,2,700,1,1,2023-07-09 20:36:55,"1 puzzle de 9 pièces
8 cylindres en plastique
8 formes géométriques
1 puzzle de formes de 4 pièces
1 base et 8 jetons du cherche et trouve
6 associations de couleurs
5 associations de nombres
5 cartes &quot;que mangent-ils?&quot; assorties
16 cartes du memory
2 cartons d&#039;ombres
1 livret d&#039;instructions",NULL,1503,NULL
1504,11,599,2,NULL,4,1,2024-11-10 21:15:22,scotland-yard_1504.png,SCOTLAND YARD,RAVENSBURGER,1992,SCOTLAND-YARD,0,0,0,10,1200,1,1,2023-07-09 21:25:26,"1 plan de jeu
125 tickets dont 54 taxi, 43 bus, 23 métro et 5 black tickets
2 cartons &quot;coup double&quot;
18 cartons départ
1 tableau de parcours
6 pions
1 règle du jeu
1 visière pour Mister X",NULL,1504,NULL
1505,2,599,2,NULL,4,1,2024-11-10 21:15:22,superbaloo_1505.png,SUPERBALOO,MB,1992,SUPERBALOO,0,0,0,6,1000,1,1,2023-07-09 21:34:33,"1 plateau de jeu
1 dé
1 hydravion (à assembler)
15 cartes cargaison",NULL,1505,NULL
1506,21,599,2,NULL,4,1,2024-11-10 21:15:22,trivial-pursuit-nos-annnnes-1980_1506.png,TRIVIAL PURSUIT - NOS ANNÉES 1980,HASBRO,2000,TRIVIAL-PURSUIT-NOS-ANNEES-1980,0,0,0,14,800,1,1,2023-07-15 21:21:08,"1 plateau de jeu
300 cartes questions-réponses
1 boîtier à cartes
1 dé classique
1 dé de défi
6 camemberts
36 triangles marqueurs de couleurs différentes
1 règle du jeu",NULL,1506,NULL
1507,30,599,2,NULL,4,1,2024-11-10 21:15:22,loto-la-reine-des-neiges_1507.png,LOTO LA REINE DES NEIGES,CLEMENTONI,NULL,LOTO-LA-REINE-DES-NEIGES,0,0,0,4,300,1,1,2023-07-18 21:00:03,"4 planches
24 cartes",NULL,1507,NULL
1508,30,599,2,NULL,4,1,2024-11-10 21:15:22,memo-disney-princesses_1508.png,MEMO DISNEY PRINCESSES,CLEMENTONI,NULL,MEMO-DISNEY-PRINCESSES,0,0,0,4,300,1,1,2023-07-18 21:09:05,48 cartes,NULL,1508,NULL
1509,20,599,2,NULL,4,1,2024-11-10 21:15:22,prem-s_1509.png,PREM&#039;S,LANSAY,NULL,PREM-and-039-S,0,0,0,8,700,1,1,2023-07-21 17:37:22,"1 base électronique parlante
30 cartes triangulaires recto-verso (2 thèmes par carte)",NULL,1509,NULL
1510,12,599,2,NULL,4,1,2024-11-10 21:15:22,mission-escape_1510.png,MISSION : ESCAPE,GOLIATH,2017,MISSION-ESCAPE,0,1,584,7,900,1,0,2023-07-21 18:01:19,"1 mécanisme de compte à rebours
1 cage
2 bâtonnets
1 décodeur
45 cartes &quot;énigme&quot;
2 clés
1 règle du jeu",NULL,1510,NULL
1511,27,599,2,NULL,4,1,2024-11-10 21:15:22,le-cochon-qui-rit_1511.png,LE COCHON QUI RIT,JEUX MICHEL,NULL,LE-COCHON-QUI-RIT,0,0,0,5,800,1,1,2023-07-21 19:09:28,"4 corps de cochons
36 attributs : 
- 4 x 4 pattes
- 4 x 2 yeux
- 4 x 2 oreilles
- 4 queues
1 cornet
3 dés",NULL,1511,NULL
1512,221,599,2,NULL,4,1,2024-11-10 21:15:22,jeux-de-dames-et-nnchecs_1512.png,JEUX DE DAMES ET ÉCHECS,GROUPE CASINO,NULL,JEUX-DE-DAMES-ET-ECHECS,0,0,0,7,500,1,1,2023-07-21 19:36:17,"1 plateau en bois massif double face échecs / dames
32 pièces d&#039;échecs en bois
40 pions de dames en bois",NULL,1512,NULL
1513,11,599,2,NULL,4,1,2024-11-10 21:15:22,na-qui-est-ce_1513.png,À QUI EST-CE?,RAVENSBURGER,NULL,A-QUI-EST-CE,0,0,0,3,500,1,1,2023-07-21 19:50:06,27 pièces en bois formant 9 associations d&#039;images,NULL,1513,NULL
1514,222,599,2,NULL,4,1,2024-11-10 21:15:22,7-red-seven_1514.png,7 RED SEVEN,CLUB NATHAN,1980,7-RED-SEVEN,0,1,588,12,1000,1,0,2023-07-21 20:00:42,"1 plan de jeu quadrillé, avec des cases chiffrées et une case &quot;7&quot; centrale
108 jetons-lettres avec une valeur en chiffre et une couleur : pique, cœur, carreau, trèfle
4 sacs plastique
4 réglettes
Des feuilles de marque
1 règle du jeu",NULL,1514,NULL
1515,2,599,2,NULL,4,1,2024-11-10 21:15:22,les-rainettes_1515.png,LES RAINETTES,MB,1985,LES-RAINETTES,0,0,0,4,500,1,1,2023-07-22 21:32:15,"10 grenouilles (5 jaunes, 5 rouges)
8 feuilles de nénuphar
18 aimants (9 blancs, 9 bleus)",NULL,1515,NULL
1516,11,599,2,NULL,4,1,2024-11-10 21:15:22,lottino_1516.png,LOTTINO,RAVENSBURGER,1977,LOTTINO,0,0,0,3,400,1,1,2023-07-22 21:51:36,"6 planches
54 cartes",NULL,1516,NULL
1517,34,599,2,NULL,4,1,2024-11-10 21:15:22,hissez-o-pirates_1517.png,HISSEZ &quot;O&quot; PIRATES,TOMY,NULL,HISSEZ-and-quot-O-and-quot-PIRATES,0,0,0,5,600,1,1,2023-07-24 18:22:26,"1 navire
1 grand pirate
16 petits pirates (4 jaunes, 4 rouges, 4 bleus, 4 verts)
8 planches
1 règle du jeu",NULL,1517,NULL
1518,66,599,2,NULL,4,1,2024-11-10 21:15:22,loto-les-animaux-familiers_1518.png,LOTO LES ANIMAUX FAMILIERS,JEUX NATHAN,1996,LOTO-LES-ANIMAUX-FAMILIERS,0,0,0,2,300,1,1,2023-07-25 23:05:51,"5 planches
30 cartes",NULL,1518,NULL
1519,11,599,2,NULL,4,1,2024-11-10 21:15:22,labyrinthe_1519.png,LABYRINTHE,RAVENSBURGER,1995,LABYRINTHE,0,0,0,8,1200,1,1,2023-07-27 17:49:59,"1 plateau de jeu
34 plaques Couloir dont 12 avec image, 12 lignes droites et 10 virages
24 cartes
4 pions
1 règle du jeu",NULL,1519,NULL
1520,6,599,1,3,4,1,2024-11-12 15:30:21,tresor-detector_1520.png,TRESOR DETECTOR,DUJARDIN,2015,TRESOR-DETECTOR,0,1,417,7,1800,1,0,2023-07-28 21:27:56,"1 détecteur et 2 clés
1 trésor et son diamant
20 défis (10 cartes)
1 règle du jeu",NULL,1520,NULL
1521,23,599,2,NULL,4,1,2024-11-10 21:15:22,jeu-d-nnchecs-moutons_1521.png,JEU D&#039;ÉCHECS MOUTONS,INCONNU,NULL,JEU-D-and-039-ECHECS-MOUTONS,0,0,0,7,2000,1,1,2023-07-30 17:35:23,"1 plateau de jeu en plâtre
32 figurines en résine",NULL,1521,NULL
